actual,clinton_prob,trump_prob,model
Trump,0.695552582718,0.247967153105,poltweet
Clinton,0.855369674171,0.0885279859521,poltweet
Clinton,0.636893518704,0.28445134138,poltweet
Clinton,0.737681594544,0.181792594346,poltweet
Trump,0.550509133654,0.359581922428,poltweet
Trump,0.559508358306,0.346484310226,poltweet
Clinton,0.850296307024,0.103501202768,poltweet
Clinton,0.742424760558,0.18229620094,poltweet
Trump,0.767521078046,0.168003217947,poltweet
Clinton,0.39219386304,0.531029571025,poltweet
Clinton,0.782691439302,0.145785807805,poltweet
Clinton,0.740348551026,0.165156652567,poltweet
Clinton,0.710310363201,0.191954581369,poltweet
Clinton,0.71818101754,0.211972672953,poltweet
Trump,0.544412574669,0.409154225416,poltweet
Clinton,0.76977996509,0.150023819677,poltweet
Trump,0.302121637245,0.638264259601,poltweet
Clinton,0.721368918401,0.224557973162,poltweet
Trump,0.531259527286,0.351952025135,poltweet
Clinton,0.644202824338,0.256026458158,poltweet
Trump,0.28954042073,0.661790556757,poltweet
Trump,0.636084258542,0.258202429088,poltweet
Clinton,0.706974215027,0.193117790493,poltweet
Trump,0.657102679416,0.268765311702,poltweet
Trump,0.788391319362,0.148865463112,poltweet
Clinton,0.703583005056,0.22186606837,poltweet
Clinton,0.721881603406,0.179679389876,poltweet
Trump,0.547966515527,0.372455014956,poltweet
Clinton,0.632994349055,0.283640935969,poltweet
Trump,0.616699815925,0.258297403338,poltweet
Clinton,0.617388591271,0.300262575823,poltweet
Clinton,0.716881040065,0.201064202373,poltweet
Trump,0.214753274311,0.733259174863,poltweet
Trump,0.250530816713,0.628463714024,poltweet
Clinton,0.553576056476,0.372206913295,poltweet
Trump,0.593539176636,0.296635303536,poltweet
Trump,0.345698481076,0.561134148557,poltweet
Trump,0.729938219226,0.170046616306,poltweet
Trump,0.556848282853,0.370684624021,poltweet
Clinton,0.726929664826,0.205770218307,poltweet
Clinton,0.475814587422,0.46641721423,poltweet
Clinton,0.812870921919,0.112937984422,poltweet
Clinton,0.565404785336,0.356942488123,poltweet
Clinton,0.770497249959,0.162414715641,poltweet
Clinton,0.734347669397,0.180239029545,poltweet
Clinton,0.633258537608,0.263323688908,poltweet
A_None,0.67755148668,0.231270711901,poltweet
